"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","系统角色管理","删除角色","0","0","3","0","0"
"","Help","官网文档","0","0","18","0","0"
"","应用管理","应用-应用模板","0","0","3","0","0"
"","Project","项目设置-项目配额","1","0","8","0","0"
"","DevOps","工程管理-工程成员","0","0","7","0","0"
"","Project","应用负载-容器组","0","0","6","0","0"
"","系统角色管理","查询角色","0","0","6","0","0"
"","Project","应用负载-工作负载","0","0","16","0","0"
"","DevOps","工程管理-凭证","0","0","8","0","0"
"","企业空间角色&用户管理","概览","0","0","2","0","0"
"","Project","配置中心-秘钥","0","0","9","0","0"
"","Project","项目设置-项目角色","0","0","10","0","0"
"","企业空间角色&用户管理","企业空间设置-企业角色","0","0","15","0","0"
"","Project","项目设置-基本信息","0","0","5","0","0"
"","企业空间角色&用户管理","企业组织","0","0","6","0","0"
"","Project","项目设置-项目成员","0","0","6","0","0"
"","Project","存储管理-存储卷","0","0","15","0","0"
"","系统角色管理","编辑角色","0","0","1","0","0"
"","系统角色管理","添加角色","0","0","4","0","0"
"","Project","项目设置-网络隔离","0","0","8","0","0"
"","Project","应用负载-任务","0","0","7","0","0"
"","企业空间角色&用户管理","企业空间列表","0","0","4","0","0"
"","应用商店管理","应用审核","0","0","3","0","0"
"","DevOps","工程管理-工程角色","0","0","9","0","0"
"","Project","配置中心-服务账号","0","0","7","0","0"
"","系统账户管理","查询用户","0","0","5","0","0"
"","Project","配置中心-配置","0","0","5","0","0"
"","应用商店管理","应用分类","0","0","6","0","0"
"","应用管理","应用管理-应用仓库","0","0","8","0","0"
"","Project","存储管理-存储卷快照","0","0","9","0","0"
"","系统账户管理","删除用户","0","0","4","0","0"
"","Project","应用负载-服务","0","0","1","0","0"
"","Project","项目设置-资源默认请求","0","0","6","0","0"
"","DevOps","工程管理-基本信息","0","0","1","0","0"
"","系统账户管理","添加用户","0","0","9","0","0"
"","DevOps","devops项目","0","0","4","0","0"
"","企业空间角色&用户管理","企业空间设置-企业成员","0","0","4","0","0"
"","企业空间角色&用户管理","配额管理","0","0","1","0","0"
"","企业空间角色&用户管理","项目管理","0","0","6","0","0"
"","DevOps","流水线","0","1","0","0","0"
"","系统账户管理","编辑用户","0","0","2","0","0"
"","应用商店管理","应用商店","0","0","4","0","0"
"","应用管理","应用管理-应用模版","0","0","3","0","0"
"","应用管理","应用管理-应用模板","0","0","3","0","0"
"","企业空间角色&用户管理","","0","0","4","0","0"
"","Project","设置项目配额-输入错误的cpu信息(包含负数)","0","0","1","0","0"
"","企业空间角色&用户管理","企业空间设置-基本信息","0","0","2","0","0"
"","Project","项目设置-高级设置","0","0","2","0","0"
"","Project","应用负载-应用路由","0","0","1","0","0"
